Date,Open,High,Low,Close,Adj Close,Volume
2014-01-01,16572.169922,16573.070313,16405.519531,16530.939453,16530.939453,324380000
2014-01-08,16527.660156,16528.880859,16240.599609,16373.860352,16373.860352,482730000
2014-01-15,16378.030273,16520.599609,16316.250000,16414.439453,16414.439453,485040000
2014-01-22,16420.480469,16453.490234,15783.549805,15928.559570,15928.559570,546110000
2014-01-29,15927.080078,15927.080078,15356.169922,15445.240234,15445.240234,613940000
2014-02-05,15443.000000,16027.190430,15340.690430,15994.769531,15994.769531,497930000
2014-02-12,15993.040039,16175.549805,15863.250000,16130.400391,16130.400391,352090000
2014-02-19,16126.230469,16300.040039,16006.589844,16179.660156,16179.660156,628910000
2014-02-26,16180.360352,16419.490234,16071.250000,16395.880859,16395.880859,502610000
2014-03-05,16395.880859,16505.699219,16325.169922,16351.250000,16351.250000,376930000
2014-03-12,16350.669922,16405.070313,16046.990234,16336.190430,16336.190430,417790000
2014-03-19,16335.709961,16456.449219,16126.290039,16367.879883,16367.879883,735040000
2014-03-26,16370.709961,16565.730469,16191.790039,16532.609375,16532.609375,465310000
2014-04-02,16532.800781,16631.630859,16180.280273,16256.139648,16256.139648,474740000
2014-04-09,16256.370117,16456.119141,16015.320313,16262.559570,16262.559570,511520000
2014-04-16,16266.230469,16565.710938,16266.230469,16514.369141,16514.369141,395170000
2014-04-23,16513.730469,16559.390625,16312.660156,16535.369141,16535.369141,424550000
2014-04-30,16534.859375,16620.060547,16377.089844,16401.019531,16401.019531,392170000
2014-05-07,16401.660156,16735.509766,16357.349609,16715.439453,16715.439453,387360000
2014-05-14,16716.080078,16717.560547,16341.299805,16374.309570,16374.309570,455240000
2014-05-21,16376.169922,16688.689453,16376.169922,16675.500000,16675.500000,278190000
2014-05-28,16674.980469,16756.640625,16620.220703,16722.339844,16722.339844,348560000
2014-06-04,16720.000000,16970.169922,16673.650391,16945.919922,16945.919922,348250000
2014-06-11,16943.160156,16943.160156,16703.730469,16808.490234,16808.490234,371070000
2014-06-18,16806.119141,16978.019531,16755.289063,16818.130859,16818.130859,545150000
2014-06-25,16817.679688,16998.699219,16746.089844,16956.070313,16956.070313,439670000
2014-07-02,16949.710938,17074.650391,16874.789063,16906.619141,16906.619141,261370000
2014-07-09,16916.830078,17120.339844,16805.380859,17060.679688,17060.679688,357930000
2014-07-16,17061.910156,17151.560547,16966.189453,17113.539063,17113.539063,468820000
2014-07-23,17117.009766,17121.050781,16877.720703,16912.109375,16912.109375,349290000
2014-07-30,16920.109375,16983.939453,16369.549805,16429.470703,16429.470703,417170000
2014-08-06,16425.099609,16627.990234,16333.780273,16560.539063,16560.539063,369780000
2014-08-13,16567.539063,16929.130859,16567.539063,16919.589844,16919.589844,380460000
2014-08-20,16910.029297,17153.800781,16896.550781,17106.699219,17106.699219,299560000
2014-08-27,17111.029297,17134.599609,17009.070313,17067.560547,17067.560547,259870000
2014-09-03,17067.240234,17161.550781,16993.289063,17013.869141,17013.869141,342190000
2014-09-10,17016.050781,17167.050781,16937.669922,17131.970703,17131.970703,368190000
2014-09-17,17131.009766,17350.640625,17055.869141,17055.869141,17055.869141,674120000
2014-09-24,17056.640625,17226.599609,16934.429688,17042.900391,17042.900391,421230000
2014-10-01,17040.460938,17099.390625,16674.039063,16719.390625,16719.390625,1002540000
2014-10-08,16718.650391,17006.910156,16273.639648,16315.190430,16315.190430,554750000
2014-10-15,16313.299805,16620.779297,15855.120117,16614.810547,16614.810547,629390000
2014-10-22,16615.259766,17006.449219,16459.849609,17005.750000,17005.750000,438320000
2014-10-29,17005.070313,17410.650391,16895.380859,17383.839844,17383.839844,439660000
2014-11-05,17385.759766,17638.210938,17385.759766,17614.900391,17614.900391,353870000
2014-11-12,17604.750000,17735.710938,17536.169922,17687.820313,17687.820313,387120000
2014-11-19,17685.509766,17894.830078,17603.890625,17814.939453,17814.939453,466160000
2014-11-26,17812.250000,17897.050781,17726.550781,17879.550781,17879.550781,316280000
2014-12-03,17880.900391,17991.189453,17629.570313,17801.199219,17801.199219,443860000
2014-12-10,17797.990234,17797.990234,17067.589844,17068.869141,17068.869141,557840000
2014-12-17,17069.160156,18069.220703,17069.160156,18024.169922,18024.169922,767200000
2014-12-24,18035.730469,18103.449219,17959.699219,17983.070313,17983.070313,196800000
2014-12-31,17987.660156,18043.220703,17262.369141,17371.640625,17371.640625,377140000
2015-01-07,17374.779297,17923.009766,17374.779297,17613.679688,17613.679688,491170000
2015-01-14,17609.060547,17609.060547,17243.550781,17515.230469,17515.230469,463780000
2015-01-21,17509.960938,17840.890625,17288.310547,17387.210938,17387.210938,527780000
2015-01-28,17402.910156,17670.759766,17037.759766,17666.400391,17666.400391,617180000
2015-02-04,17664.990234,17951.089844,17603.210938,17868.759766,17868.759766,447580000
2015-02-11,17867.859375,18052.009766,17759.650391,18047.580078,18047.580078,391040000
2015-02-18,18045.720703,18231.089844,17878.369141,18209.189453,18209.189453,428590000
2015-02-25,18208.669922,18288.630859,18122.589844,18203.369141,18203.369141,436710000
2015-03-04,18203.369141,18203.369141,17662.939453,17662.939453,17662.939453,476360000
2015-03-11,17662.939453,17988.500000,17620.490234,17849.080078,17849.080078,511610000
2015-03-18,17846.800781,18205.929688,17697.519531,18011.140625,18011.140625,757860000
2015-03-25,18012.609375,18041.970703,17579.269531,17776.119141,17776.119141,551030000
2015-04-01,17778.519531,17983.119141,17585.009766,17875.419922,17875.419922,363730000
2015-04-08,17877.619141,18107.570313,17822.230469,18036.699219,18036.699219,482890000
2015-04-15,18045.710938,18169.259766,17748.529297,17949.589844,17949.589844,540330000
2015-04-22,17950.820313,18175.560547,17887.759766,18110.140625,18110.140625,556670000
2015-04-29,18093.689453,18133.759766,17774.890625,17928.199219,17928.199219,504310000
2015-05-06,17934.810547,18205.230469,17733.119141,18068.230469,18068.230469,451630000
2015-05-13,18070.369141,18351.359375,18039.199219,18312.390625,18312.390625,451260000
2015-05-20,18315.060547,18350.130859,17990.019531,18041.539063,18041.539063,352790000
2015-05-27,18045.080078,18190.349609,17925.330078,18011.939453,18011.939453,466910000
2015-06-03,18018.419922,18168.089844,17714.970703,17764.039063,17764.039063,432580000
2015-06-10,17765.380859,18109.769531,17698.419922,17904.480469,17904.480469,439660000
2015-06-17,17909.580078,18188.810547,17839.650391,18144.070313,18144.070313,598920000
2015-06-24,18139.099609,18139.099609,17576.500000,17619.509766,17619.509766,584890000
2015-07-01,17638.119141,17825.490234,17465.679688,17776.910156,17776.910156,366060000
2015-07-08,17759.009766,18072.820313,17496.220703,18053.580078,18053.580078,419270000
2015-07-15,18053.380859,18137.119141,17868.339844,17919.289063,17919.289063,447230000
2015-07-22,17918.349609,17919.349609,17399.169922,17630.269531,17630.269531,525750000
2015-07-29,17631.400391,17783.589844,17496.609375,17550.689453,17550.689453,462850000
2015-08-05,17555.240234,17661.369141,17279.080078,17402.839844,17402.839844,475860000
2015-08-12,17382.929688,17568.400391,17125.810547,17511.339844,17511.339844,444350000
2015-08-19,17508.740234,17517.189453,15370.330078,15666.440430,15666.440430,965560000
2015-08-26,15676.259766,16669.970703,15676.259766,16058.349609,16058.349609,825020000
2015-09-02,16058.349609,16550.070313,16026.610352,16492.679688,16492.679688,494350000
2015-09-09,16505.039063,16664.650391,16212.080078,16599.849609,16599.849609,531820000
2015-09-16,16599.509766,16933.429688,16221.730469,16330.469727,16330.469727,780650000
2015-09-23,16332.809570,16465.230469,15942.370117,16049.129883,16049.129883,600130000
