Country,GDP,Population,LifeExpectancy,Continent
Algeria,6223.367465,33333216,72.301,0
Angola,4797.231267,12420476,42.731,0
Benin,1441.284873,8078314,56.728,0
Botswana,12569.851770000001,1639131,50.728,0
Burkina Faso,1217.032994,14326203,52.295,0
Burundi,430.07069160000003,8390505,49.58,0
Cameroon,2042.0952399999999,17696293,50.43,0
Central 0n Republic,706.016537,4369038,44.74100000000001,0
Chad,1704.0637239999999,10238807,50.651,0
Comoros,986.1478792000001,710960,65.152,0
Congo Dem. Rep.,277.55185869999997,64606759,46.461999999999996,0
Congo Rep.,3632.557798,3800610,55.321999999999996,0
Cote d'Ivoire,1544.750112,18013409,48.328,0
Djibouti,2082.4815670000003,496374,54.791000000000004,0
Egypt,5581.180998,80264543,71.33800000000001,0
Equatorial Guinea,12154.08975,551201,51.57899999999999,0
Eritrea,641.3695236000001,4906585,58.04,0
Ethiopia,690.8055759,76511887,52.946999999999996,0
Gabon,13206.48452,1454867,56.735,0
Gambia,752.7497265,1688359,59.448,0
Ghana,1327.60891,22873338,60.022,0
Guinea,942.6542111,9947814,56.007,0
Guinea-Bissau,579.2317429999999,1472041,46.388000000000005,0
Kenya,1463.249282,35610177,54.11,0
Lesotho,1569.331442,2012649,42.592,0
Liberia,414.5073415,3193942,45.678000000000004,0
Libya,12057.49928,6036914,73.952,0
Madagascar,1044.770126,19167654,59.443000000000005,0
Malawi,759.3499101,13327079,48.303000000000004,0
Mali,1042.581557,12031795,54.467,0
Mauritania,1803.1514960000002,3270065,64.164,0
Mauritius,10956.99112,1250882,72.801,0
Morocco,3820.17523,33757175,71.164,0
Mozambique,823.6856205,19951656,42.082,0
Namibia,4811.060429,2055080,52.906000000000006,0
Niger,619.6768923999999,12894865,56.867,0
Nigeria,2013.9773050000001,135031164,46.858999999999995,0
Reunion,7670.122558,798094,76.442,0
Rwanda,863.0884639000001,8860588,46.242,0
Sao Tome and Principe,1598.435089,199579,65.528,0
Senegal,1712.4721359999999,12267493,63.062,0
Sierra Leone,862.5407561000001,6144562,42.568000000000005,0
Somalia,926.1410683,9118773,48.159,0
South 0,9269.657808,43997828,49.339,0
Sudan,2602.394995,42292929,58.556000000000004,0
Swaziland,4513.480643,1133066,39.613,0
Tanzania,1107.482182,38139640,52.516999999999996,0
Togo,882.9699437999999,5701579,58.42,0
Tunisia,7092.923025,10276158,73.923,0
Uganda,1056.3801210000001,29170398,51.542,0
Zambia,1271.211593,11746035,42.38399999999999,0
Zimbabwe,469.70929810000007,12311143,43.486999999999995,0
Argentina,12779.379640000001,40301927,75.32,1
Bolivia,3822.1370840000004,9119152,65.554,1
Brazil,9065.800825,190010647,72.39,1
Canada,36319.235010000004,33390141,80.653,1
Chile,13171.63885,16284741,78.553,1
Colombia,7006.580419,44227550,72.889,1
Costa Rica,9645.06142,4133884,78.782,1
Cuba,8948.102923,11416987,78.273,1
Dominican Republic,6025.374752000001,9319622,72.235,1
Ecuador,6873.262326000001,13755680,74.994,1
El Salvador,5728.353514,6939688,71.878,1
Guatemala,5186.050003,12572928,70.259,1
Haiti,1201.637154,8502814,60.916000000000004,1
Honduras,3548.3308460000003,7483763,70.19800000000001,1
Jamaica,7320.880262000001,2780132,72.567,1
Mexico,11977.57496,108700891,76.195,1
Nicaragua,2749.320965,5675356,72.899,1
Panama,9809.185636,3242173,75.53699999999999,1
Paraguay,4172.838464,6667147,71.752,1
Peru,7408.905561,28674757,71.421,1
Puerto Rico,19328.70901,3942491,78.74600000000001,1
Trinidad and Tobago,18008.50924,1056608,69.819,1
United States,42951.65309,301139947,78.242,1
Uruguay,10611.46299,3447496,76.384,1
Venezuela,11415.805690000001,26084662,73.747,1
Afghanistan,974.5803384,31889923,43.828,2
Bahrain,29796.048339999998,708573,75.635,2
Bangladesh,1391.253792,150448339,64.062,2
Cambodia,1713.7786859999999,14131858,59.723,2
China,4959.1148539999995,1318683096,72.961,2
Hong Kong China,39724.97867,6980412,82.208,2
India,2452.210407,1110396331,64.69800000000001,2
Indonesia,3540.6515640000002,223547000,70.65,2
Iran,11605.71449,69453570,70.964,2
Iraq,4471.061906,27499638,59.545,2
Israel,25523.2771,6426679,80.745,2
Japan,31656.06806,127467972,82.603,2
Jordan,4519.461171,6053193,72.535,2
Korea Dem. Rep.,1593.06548,23301725,67.297,2
Korea Rep.,23348.139730000003,49044790,78.623,2
Kuwait,47306.98978,2505559,77.58800000000001,2
Lebanon,10461.05868,3921278,71.993,2
Malaysia,12451.6558,24821286,74.241,2
Mongolia,3095.7722710000003,2874127,66.803,2
Myanmar,944.0,47761980,62.068999999999996,2
Nepal,1091.359778,28901790,63.785,2
Oman,22316.19287,3204897,75.64,2
Pakistan,2605.94758,169270617,65.483,2
Philippines,3190.481016,91077287,71.688,2
Saudi Arabia,21654.83194,27601038,72.777,2
Singapore,47143.179639999995,4553009,79.972,2
Sri Lanka,3970.0954070000003,20378239,72.396,2
Syria,4184.548089,19314747,74.143,2
Taiwan,28718.27684,23174294,78.4,2
Thailand,7458.3963269999995,65068149,70.616,2
Vietnam,2441.576404,85262356,74.249,2
West Bank and Gaza,3025.349798,4018332,73.422,2
Yemen Rep.,2280.769906,22211743,62.698,2
Albania,5937.029525999999,3600523,76.423,3
Austria,36126.4927,8199783,79.829,3
Belgium,33692.60508,10392226,79.441,3
Bosnia and Herzegovina,7446.298803,4552198,74.852,3
Bulgaria,10680.79282,7322858,73.005,3
Croatia,14619.222719999998,4493312,75.748,3
Czech Republic,22833.30851,10228744,76.486,3
Denmark,35278.41874,5468120,78.332,3
Finland,33207.0844,5238460,79.313,3
France,30470.0167,61083916,80.657,3
Germany,32170.37442,82400996,79.406,3
Greece,27538.41188,10706290,79.483,3
Hungary,18008.94444,9956108,73.33800000000001,3
Iceland,36180.789189999996,301931,81.757,3
Ireland,40675.99635,4109086,78.885,3
Italy,28569.7197,58147733,80.546,3
Montenegro,9253.896111,684736,74.543,3
Netherlands,36797.93332,16570613,79.762,3
Norway,49357.19017,4627926,80.196,3
Poland,15389.924680000002,38518241,75.563,3
Portugal,20509.64777,10642836,78.098,3
Romania,10808.47561,22276056,72.476,3
Serbia,9786.534714,10150265,74.002,3
Slovak Republic,18678.31435,5447502,74.663,3
Slovenia,25768.25759,2009245,77.926,3
Spain,28821.0637,40448191,80.941,3
Sweden,33859.74835,9031088,80.884,3
Switzerland,37506.419069999996,7554661,81.70100000000001,3
Turkey,8458.276384,71158647,71.777,3
United Kingdom,33203.26128,60776238,79.425,3
Australia,34435.367439999995,20434176,81.235,4
New Zealand,25185.00911,4115771,80.204,4
