index,x,y,name
AL,6,6,Alabama
AK,0,0,Alaska
AZ,1,5,Arizona
AR,4,5,Arkansas
CA,0,4,California
CO,2,4,Colorado
CT,10,3,Connecticut
DE,10,4,Delaware
DC,8,5,District of Columbia
FL,8,7,Florida
GA,7,6,Georgia
HI,0,7,Hawaii
ID,1,2,Idaho
IL,5,4,Illinois
IN,6,3,Indiana
IA,4,3,Iowa
KS,3,5,Kansas
KY,6,4,Kentucky
LA,4,6,Louisiana
ME,10,0,Maine
MD,9,4,Maryland
MA,9,2,Massachusetts
MI,6,2,Michigan
MN,4,2,Minnesota
MS,5,6,Mississippi
MO,4,4,Missouri
MT,2,2,Montana
NE,3,4,Nebraska
NV,1,4,Nevada
NH,10,1,New Hampshire
NJ,9,3,New Jersey
NM,2,5,New Mexico
NY,8,2,New York
NC,6,5,North Carolina
ND,3,2,North Dakota
OH,7,3,Ohio
OK,3,6,Oklahoma
OR,0,3,Oregon
PA,8,3,Pennsylvania
RI,10,2,Rhode Island
SC,7,5,South Carolina
SD,3,3,South Dakota
TN,5,5,Tennessee
TX,3,7,Texas
UT,1,3,Utah
VT,9,1,Vermont
VA,8,4,Virginia
WA,0,2,Washington
WV,7,4,West Virginia
WI,5,3,Wisconsin
WY,2,3,Wyoming
